ITEM_ID,NAME,LOCATION,PRICE,ITEM_LINK,IMG_LINK
15,Madewell Blue Jeans,ThredUp,22.99,https://www.thredup.com/product/women-madewell-blue-jeans/54312578,https://cf-assets-thredup.thredup.com/assets/156231587/retina.jpg
16,Pact Size L Leggings,ThredUp,12.00,https://www.thredup.com/product/women-pact-gray-leggings/53200656,https://cf-assets-thredup.thredup.com/assets/156063040/retina.jpg
17,Yellow honey T-shirt from Brandy Melville,Poshmark,15.00,https://poshmark.com/listing/Yellow-honey-Tshirt-from-Brandy-Melville-5c982b05194dad71d2659e60,https://di2ponv0v5otw.cloudfront.net/posts/2019/03/24/5c982b05194dad71d2659e60/m_5c982b6112cd4a3646f6f1e2.jpg
18,Black Sole Society Hat,Poshmark,25.00,https://poshmark.com/listing/Black-Sole-Society-Hat-never-worn-5cd9541c19c157938115009f,https://di2ponv0v5otw.cloudfront.net/posts/2019/05/13/5cd9541c19c157938115009f/m_5cd95459d1aa2579868089b0.jpg
19,Madewell Velvet MockNeck Tee,Poshmark,20.00,https://poshmark.com/listing/Last-chance-Madewell-Velvet-MockNeck-Tee-5c9f7777afade89c21b41f6a,https://di2ponv0v5otw.cloudfront.net/posts/2019/03/30/5c9f7777afade89c21b41f6a/m_5c9f79a5adb58df68559cc14.jpg
20,WHITE NIKE AIR FORCE 1'S,Depop,65.00,https://www.depop.com/products/dannysoto_047-white-nike-air-force-1s-14/,https://d2h1pu99sxkfvn.cloudfront.net/b0/9468710/505741972_3wxYUGAhpv/P8.jpg
21,Vans Checkered Slip On,Mercari,16.00,https://www.mercari.com/us/item/m18412567519/,https://mercari-images.global.ssl.fastly.net/photos/m18412567519_1.jpg?1557759602
22,Express Blue Jeans,ThredUp,14.99,https://www.thredup.com/product/women-express-blue-jeans/54320741,https://cf-assets-thredup.thredup.com/assets/153288526/retina.jpg
23,Zara Green Plaid Skirt With Chain,Mercari,24.00,https://www.mercari.com/us/item/m73182394850/,https://mercari-images.global.ssl.fastly.net/photos/m73182394850_1.jpg?1556338828
24,Urban Outfitters Pins and Needles Blouse,Mercari,18.00,https://www.mercari.com/us/item/m23712221207/,https://mercari-images.global.ssl.fastly.net/photos/m23712221207_1.jpg?1557761291
25,DR MARTENS Size 7 flower sneakers,Poshmark,39.00,https://poshmark.com/listing/DR-MARTENS-7-flower-sneakers-5c78b424a5d7c63dd4d6c5cf,https://di2ponv0v5otw.cloudfront.net/posts/2019/02/28/5c78b424a5d7c63dd4d6c5cf/m_5c78b44945c8b3a5fddd7dd1.jpg
26,Madewell cream sweater with back buttons,Poshmark,50.00,https://poshmark.com/listing/Madewell-cream-sweater-with-back-buttons-5bccc2a46a0bb7e7df6117e7,https://di2ponv0v5otw.cloudfront.net/posts/2018/10/21/5bccc2a46a0bb7e7df6117e7/m_5bccc2ad3c9844711bc1a41c.jpg
27,American Apparel Color Block Fisherman's Pullover,Poshmark,60.00,https://poshmark.com/listing/American-Apparel-Color-Block-Fishermans-Pullover-5c4d23a06a0bb7e57eff8b0b,https://di2ponv0v5otw.cloudfront.net/posts/2019/01/26/5c4d23a06a0bb7e57eff8b0b/m_5c4d36cffe515157a3081ea4.jpg
28,Cashmere Charter Club Sweater NWOT size M,Poshmark,50.00,https://poshmark.com/listing/Cashmere-Charter-Club-Sweater-NWOT-size-M-5ccdd16c248f7aa0de53bf6c,https://di2ponv0v5otw.cloudfront.net/posts/2019/05/04/5ccdd16c248f7aa0de53bf6c/m_5ccdd17aa20dfc2dfb7073ad.jpg
29,Black Converse Size 6.5,Depop,30.00,https://www.depop.com/products/michelle_1120-black-converse-size-65-high/,https://d2h1pu99sxkfvn.cloudfront.net/b0/7736564/504468114_xGa47jQzr6/P8.jpg
30,New Balance 996 in men's size 8,Depop,45.00,https://www.depop.com/products/enriquebec82-made-in-usa-new-balance/,https://d2h1pu99sxkfvn.cloudfront.net/b0/5500387/494286011_uR2s5nzWgk/P8.jpg
31,Vintage Color block Jacket Men's M,Mercari,13.00,https://www.mercari.com/us/item/m41348356514/,https://mercari-images.global.ssl.fastly.net/photos/m41348356514_1.jpg?1556342663
32,American Apparel Black Denim Skirt,ThredUp,13.99,https://www.thredup.com/product/women-american-apparel-black-denim-skirt/53343810,https://cf-assets-thredup.thredup.com/assets/156709045/retina.jpg
33,Zara Bicycle Print Button Up,Poshmark,16.00,https://poshmark.com/listing/Zara-Bicycle-Print-Button-Up-5b7601803c984499b012d921,https://di2ponv0v5otw.cloudfront.net/posts/2018/08/16/5b7601803c984499b012d921/m_5b7603417c979db969e14637.jpg
34,Super cozy Brandy Melville John Galt pull over,Depop,13.00,https://www.depop.com/products/rick5-super-cozy-brandy-melville-john/,https://d2h1pu99sxkfvn.cloudfront.net/b0/8156524/503898594_0mKvyAflz5/P8.jpg
35,Lily Pulitzer Top ,Mercari,20.00,https://www.mercari.com/us/item/m38530095120/,https://mercari-images.global.ssl.fastly.net/photos/m38530095120_1.jpg?1556501641
36,Zara Gold Oxfords Shoes,Mercari,25.00,https://www.mercari.com/us/item/m20350427586/,https://mercari-images.global.ssl.fastly.net/photos/m20350427586_1.jpg?1556340226
37,Vans Old Skool Zephyr & White Shoes,Poshmark,50.00,https://poshmark.com/listing/NEW-Vans-Old-Skool-Zephyr-White-Shoes-5cc3c862ba97fe3377bc75c3,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/26/5cc3c862ba97fe3377bc75c3/m_5cc3c86c969d1f0d67725cad.jpeg
38,Philosophy Republic Clothing Green Pullover Sweater,ThredUp,16.99,https://www.thredup.com/product/women-philosophy-republic-clothing-green-pullover-sweater/53773277,https://cf-assets-thredup.thredup.com/assets/157769279/retina.jpg
39,Dr Martens Shoreditch Greasy Black Boots Size 6,Poshmark,65.00,https://poshmark.com/listing/DrMartens-Shoreditch-Greasy-Black-Boots-Size-6-5cb57db71153ba9fc710d26e,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/16/5cb57db71153ba9fc710d26e/m_5cb57f6f264a55c8efc1c359.jpg
40,UNIQLO Women's Medium Lake Tahoe Pullover Sweatshirt ,Depop,13.00,https://www.depop.com/products/crackerjackjc-uniqlo-lake-tahoe-sweatshirt-in/,https://d2h1pu99sxkfvn.cloudfront.net/b0/13812901/504279731_vG3ULfwgxJ/P8.jpg
41,American Apparel Striped Chambray Sun Button Dress,Poshmark,25.00,https://poshmark.com/listing/American-Apparel-Striped-Chambray-Sun-Button-Dress-5cbb3e2c9ed36d367c2d1dd6,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/20/5cbb3e2c9ed36d367c2d1dd6/m_5cbb3e51d40008e0934e9130.jpg
42,Women's Apt 9 Black Button Down Sleeve Shirt ,ThredUp,13.99,https://www.thredup.com/product/women-apt-9-black-long-sleeve-button-down-shirt/52571139,https://cf-assets-thredup.thredup.com/assets/154118487/retina.jpg
43,UNIQLO Women's Medium Long Sleeve Pullover Sweatshirt ,Depop,13.00,https://www.depop.com/products/crackerjackjc-uniqlo-women-california-memories-long/,https://d2h1pu99sxkfvn.cloudfront.net/b0/13812901/504287446_oc0vPGqY2J/P8.jpg
44,Zara Mom Jeans,Mercari,20.00,https://www.mercari.com/us/item/m89049679978/,https://mercari-images.global.ssl.fastly.net/photos/m89049679978_1.jpg?1557627856
45,Checkered Bucket Hat,Depop,20.00,https://www.depop.com/products/raquelrod22-checkered-bucket-hat-details-bucket/,https://d2h1pu99sxkfvn.cloudfront.net/b0/1997170/506187585_IJqZ7ilE4H/P8.jpg
46,American Apparel Black Tank Top,ThredUp,12.99,https://www.thredup.com/product/women-american-apparel-black-tank-top/53393803,https://cf-assets-thredup.thredup.com/assets/142351615/retina.jpg
47,Fabletics Active Dress,ThredUp,21.00,https://www.thredup.com/product/women-fabletics-gray-active-dress/53030982,https://cf-assets-thredup.thredup.com/assets/155540367/retina.jpg
48,Madewell Colorblock Cropped Sweater XS,Mercari,35.00,https://www.mercari.com/us/item/m95759272671/,https://mercari-images.global.ssl.fastly.net/photos/m95759272671_1.jpg?1554642276
49,Fila Disruptor Sneakers,Mercari,45.00,https://www.mercari.com/us/item/m16903127834/,https://mercari-images.global.ssl.fastly.net/photos/m16903127834_1.jpg?1556936814
50,Vans Slip-On Dry Rose & White Embossed Shoes,Poshmark,45.00,https://poshmark.com/listing/Vans-SlipOn-Dry-RoseWhite-Embossed-Shoes-5ca7ebbe105293eaee2d5a13,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/05/5ca7ebbe105293eaee2d5a13/m_5ca7ebc1264a55019e824f20.jpeg
51,adidas Originals Corduroy Maroon Wine Wide Wale Bucket Hat,Depop,22.00,https://www.depop.com/products/amongstthestars-brand-new-with-tags-adult-62/,https://d2h1pu99sxkfvn.cloudfront.net/b0/11786418/510289281_pkN6yamvLj/P7.jpg
52,Wrap Sandal by Urban Outfitters Sandals,Mercari,16.00,https://www.mercari.com/us/item/m84440245034/,https://mercari-images.global.ssl.fastly.net/photos/m84440245034_1.jpg?1557000821
53,Vintage knit t-shirt,Poshmark,12.00,https://poshmark.com/listing/Vintage-knit-tshirt-5cc66753264a559ce410e822,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/28/5cc66753264a559ce410e822/m_5cc66809c953d87e2950a98d.jpg
54,Fila all white disruptor size 8,Depop,39.00,https://www.depop.com/products/achua-fila-disruptor-ii-size-8/,https://d2h1pu99sxkfvn.cloudfront.net/b0/5592864/507144877_16iCe2gdB3/P8.jpg
55,BRANDY MELVILLE WINDBREAKER JACKET,Depop,25.00,https://www.depop.com/products/samandnia-brandy-melville-windbreaker-jacket/,https://d2h1pu99sxkfvn.cloudfront.net/b0/9242414/439418032_jy2UfHXuV8/P8.jpg
56,American eagle outfitters green sweater,Poshmark,25.00,https://poshmark.com/listing/American-eagle-outfitters-green-sweater-5c2ee1886197451640ef4a58,https://di2ponv0v5otw.cloudfront.net/posts/2019/01/03/5c2ee1886197451640ef4a58/m_5c2ee1c1035cf1f846790793.jpg
57,Leather Puma Sneakers,Depop,32.00,https://www.depop.com/products/amojewels-brand-new-leather-puma-sneakers/,https://d2h1pu99sxkfvn.cloudfront.net/b0/9639440/510217732_IiSMuCpG08/P7.jpg
58,Zara Mom Jeans,Mercari,26.00,https://www.mercari.com/us/item/m79532848612/,https://mercari-images.global.ssl.fastly.net/photos/m79532848612_1.jpg?1556347460
59,Men’s sweatshirt and jean jacket,Poshmark,12.00,https://poshmark.com/category/Men?max_id=4,https://di2ponv0v5otw.cloudfront.net/posts/2019/05/13/5cd9a082248f7ae3d59a63e4/m_5cd9a0968557af2d7e47f1ba.jpg
60,Athleta Active Tank,ThredUp,41.99,https://www.thredup.com/product/women-athleta-active-tank/51823071?sizing_id=765%2C778,https://cf-assets-thredup.thredup.com/assets/151837028/retina.jpg
61,Jean Jacket,Mercari,16.00,https://www.mercari.com/us/item/m49972359638/,https://mercari-images.global.ssl.fastly.net/photos/m49972359638_1.jpg?1556500879
62,1460 PASCAL FRONT ZIP ARCADIA Dr Martens,Poshmark,120.00,https://poshmark.com/listing/1460-PASCAL-FRONT-ZIP-ARCADIA-Dr-Martens-5ca7ed2fa20dfc799debdaa3,https://di2ponv0v5otw.cloudfront.net/posts/2019/04/05/5ca7ed2fa20dfc799debdaa3/m_5ca7ed7a9d3b78813cd1e3ff.jpg
63,Brand new Reebok Classic women sneakers size 9.5,Depop,45.00,https://www.depop.com/products/celiatorvisco-reebok-classic-women-shoes-size/,https://d2h1pu99sxkfvn.cloudfront.net/b0/13458111/494219095_Z087zspV9a/P8.jpg
64,Hollister Off the Shoulder Top! Brand New!,Poshmark,20.00,https://poshmark.com/listing/Hollister-Off-the-Shoulder-Top-Brand-New-5c8be93903087cd61473782a,https://di2ponv0v5otw.cloudfront.net/posts/2019/03/15/5c8be93903087cd61473782a/m_5c8be9433c9844ee9b312f60.jpg
65,NWOT - Madewell Women's Velvet Mockneck Top,Poshmark,28.00,https://poshmark.com/listing/NWOT-Madewell-Womens-Velvet-Mockneck-Top-5c9eb633264a550fb91093ec,https://di2ponv0v5otw.cloudfront.net/posts/2019/03/29/5c9eb633264a550fb91093ec/m_5c9ebd607a8173b2ba91bb7d.jpg
